authors,likes,quotes,tags
RVM,0,"“Don’t just GO through Life, GROW through it. For Life comes to you only Once . .. . Never to Return! Climb the Ladder of Life, step by step.”","['inspiration', 'motivation']"
RVM,0,"“Far Greater than all the Material Possessions that I Possess is my Freedom to Choose, my Freedom to Live, and my Freedom to be Happy.”","['inspiration', 'motivation']"
Maria Karvouni,0,“You become what you have as a need the most to become.”,"['become', 'inspiration', 'motivation', 'need', 'orientation', 'profession', 'study', 'success', 'university', 'will']"
"S. Jae-Jones,",0,"“Past the woodshed, past the creek that ran behind our inn, deep in the wild heart of the forest, was a circle of alder trees we called the Goblin Grove. The trees grew in such a way as to suggest twisted arms and monstrous limbs frozen in an eternal dance, and Constanze liked to tell us that the trees had once been humans- naughty young women- who displeased Der Erlkönig. As children we had played here, Josef and me, played and sang and danced, offering our music to the Lord of Mischief. The Goblin King was the silhouette around which my music was composed, and the Goblin Grove was the place my shadows came to life.I spied a scarlet shape in the woods ahead of me. Käthe in my cloak, walking to my sacred space. An irrational, petty slash of irritation cut through my dread and unease. The Goblin Grove was my haunt, my refuge, my sanctuary. Why must she take everything that was mine? My sister had a gift for turning the extraordinary into the ordinary. Unlike my brother and me- who lived in the ether of magic and music- Käthe lived in the world of the real, the tangible, the mundane. Unlike us, she never had faith.”","['childhood-fantasy', 'deep-in-the-forest', 'goblin-grove', 'goblin-king', 'haunt', 'inspiration', 'liesl-vogler']"
"Tina Brown,",0,“Writing doesn't improve by not doing it.”,"['editors', 'inspiration', 'magazines', 'motivation', 'writer', 'writing']"
Nina Hrusa,0,"“Nur wenn wir neue Wege gehen werden wir zu neuen Erkenntnissen gelangen. Wenn wir nicht bereit sind alte, gewohnte und oftmals auch ausgetretene Pfade zu verlassen werden wir uns eines Tages in einer Sackgasse verrennen.”","['be-unique', 'chance', 'change-your-life', 'erkenntnisse', 'inspiration', 'leben', 'mut', 'neue-wege', 'paths-of-life', 'pfade']"
Mary L. Hamilton,0,"“I do not write to escape the world, but to untangle and understand it.from Lady Jayne Disappears by Joanna Davidson Politano”","['inspiration', 'understanding', 'writing']"
RVM,0,“Positive Power can Inspire. Negative Power can make you Perspire! Which Power do YOU Choose?”,"['inspiration', 'motivation']"
Lailah Gifty Akita,0,“Let your holy home be your heart.”,"['christian-living', 'faith', 'heart', 'home', 'inspiration', 'self-worth', 'you']"
Marwa Zaghdoud,0,“عندما يكون الخوف داخل الإرادة تعمى الحياة لفرط إرتعاش اناملها ، و عندما يكون الخوف خارج بوتقة الإرادة يغشى الحياة نور الإدراك فياحبذا خوف و إرادة على خط سواء نظرُُ سليم و حياة كريمة.”,"['balance', 'hope', 'inspiration', 'life', 'willing', 'wisdom-quotes', 'wise']"
RVM,0,"“Do you want to make your Life Exciting? Then Find a Purpose that will make you Jump out of bed each day with Enthusiasm, Power and Excitement!”","['inspiration', 'motivation']"
"Kristen Ciccarelli,",0,"“The two sisters didn't come wailing. They came quietly, holding on to each other. As if they needed no one's comfort but the other's. As if, as long as they were together, there was nothing to be afraid of.”","['family', 'fantasy', 'inspiration', 'love', 'sisters']"
Malebo Sephodi,0,“There are people who break you down just by being them They need not do anything Dissociate”,"['black-women-quotes', 'freedom', 'inspiration', 'purpose', 'walking-away']"
Steve Maraboli,0,“Nobody is immune to life's nonsense. Some of the people you admire most have been through the same things you have.”,"['inspiration', 'life', 'motivation', 'struggles']"
"Lamine Pearlheart,",0,"“As impactful as the sun when it comes as when it leaves."" - On the value of those exceptional people we were privileged to meet and now have to say goodbye to”","['exceptional-people', 'inspiration', 'inspiring-people', 'inspiring-person', 'inspiring-women', 'nice-people', 'nice-person']"
Teri Karjala,0,“To own you own happiness you must be willing to free yourself from the past and the stories that no longer serve you.”,"['energy-psychology', 'healing', 'inspiration', 'law-of-attraction', 'motivation', 'personal-development', 'personal-growth', 'success', 'transformation']"
"Teri Karjala,",0,"“Muck: A state of being that disempowered and fills us with self-doubt, self-hate, worry, fear, mediocrity, and an overall feeling of hopelessness from knowing that we are not living our lives to our full potential.”","['energy-psychology', 'healing', 'inspiration', 'law-of-attraction', 'motivation', 'personal-development', 'personal-growth', 'success', 'transformation']"
"Teri Karjala,",0,“It is difficult to create a new story when we are still living in our past stories.”,"['energy-psychology', 'healing', 'inspiration', 'law-of-attraction', 'motivation', 'personal-development', 'personal-growth', 'success', 'transformation']"
"Teri Karjala,",0,“We are infinite beings. Everything we need to succeed is already within us.”,"['energy-psychology', 'healing', 'inspiration', 'law-of-attraction', 'motivation', 'personal-development', 'personal-growth', 'success', 'transformation']"
"Teri Karjala,",0,“Growth cannot take place until we miche beyond what we have always known.”,"['energy-psychology', 'healing', 'inspiration', 'law-of-attraction', 'motivation', 'personal-development', 'personal-growth', 'success', 'transformation']"
"Teri Karjala,",0,“Sometimes we have to let others go in order to shine brighter.”,"['energy-psychology', 'healing', 'inspiration', 'law-of-attraction', 'motivation', 'personal-development', 'personal-growth', 'success', 'transformation']"
"Teri Karjala,",0,“Getting into the habit of writing what you are grateful for every night is a must- do daily habit.”,"['energy-psychology', 'healing', 'inspiration', 'law-of-attraction', 'motivation', 'personal-development', 'personal-growth', 'success', 'transformation']"
"Teri Karjala,",0,"“Your job is to keep faith it will work out, i'n it's own perfect way.”","['energy-psychology', 'healing', 'inspiration', 'law-of-attraction', 'motivation', 'personal-development', 'personal-growth', 'success', 'transformation']"
"Teri Karjala,",0,“What amazing possibilities are you ready to take action on now?”,"['energy-psychology', 'healing', 'inspiration', 'law-of-attraction', 'motivation', 'personal-development', 'personal-growth', 'success', 'transformation']"
Teri Karjala,0,“The secret to shifting is a daily practice.”,"['energy-psychology', 'healing', 'inspiration', 'law-of-attraction', 'motivation', 'personal-development', 'personal-growth', 'success', 'transformation']"
Sandesh Hukpachongbang,4,"“It's easy to believe in someone else, the hard part to believe in urself”","['believe', 'inspiration', 'inspirational-quotes', 'truth', 'wisdom']"
Sandesh Hukpachongbang,4,"“I smile,For the universe speaks to me in its own ways”","['dreams', 'inspiration', 'universe', 'wonder']"
"Retta,",2,“People who are going to be successful know it’s gonna happen. And those people tend to hustle until it does happen.”,"['hustle', 'inspiration', 'motivation', 'success']"
"J. Autherine,",2,“The Wild Heart wants promises of forever. The Peaceful Soul just wants harmony in the present.”,"['autherine', 'harmony', 'inspiration', 'motivation', 'peace', 'peaceful-soul', 'poet', 'poetry', 'wild-heart']"
"J. Autherine,",2,"“She is a beautiful, powerful badass woman who sometimes falls apart inside after she drops her bags by the door and tosses her stilettos. Her vulnerability at night helps her to rise stronger in the morning.”","['badass', 'beautiful', 'black-women', 'empower-women', 'feminist', 'girl-boss', 'inspiration', 'vulnerability', 'women']"
"Ana Claudia Antunes,",1,“I'm Looking forward to summer. If you miss it don't look back but try to bring sunny days into your life instead.”,"['bright-future', 'gladness', 'happiness', 'inspiration', 'motivation', 'optimism', 'positive', 'sunny-days', 'work']"
"Phil Knight,",1,"“When you make something, when you improve something, when you deliver something, when you add some new thing or service to the lives of strangers, making them happier, or healthier, or safer, or better, and when you do it all crisply and efficiently, smartly, the way everything should be done but so seldom is—you’re participating more fully in the whole grand human drama. More than simply alive, you’re helping others to live more fully, and if that’s business, all right, call me a businessman.”","['happiness', 'inspiration', 'service']"
"Lidia Yuknavitch,",1,"“You do not deserve most of what has happened or will. But there is something I can offer you. Whoever you are. Out there. As lonely as it gets, you are not alone. There is another kind of love.It’s the love of art. Because I believe in art the way other people believe in god.In art I’ve met an army of people - a tribe that gives good company and courage and hope. In books and painting and music and film. This book? It’s for you. It’s water I made a path through. I’m not speaking out of my asshole when I say this.Come in. The water will hold you.”","['art', 'inspiration']"
"J. Autherine,",1,"“We all hit rock bottom; sometimes, you bounce up fast, sometimes you crawl until you can straighten up and sometimes you have to lay there for a long time until you learn how to rise again.”","['autherine', 'inspiration', 'love', 'love-quotes', 'motivation', 'poetry', 'rise', 'rise-up', 'strong-woman']"
"Kyle Vidrine,",1,“A Knock Down Does Not Have To Be A KnockOut”,"['inspiration', 'inspirational', 'kyle-the-dream-vidrine', 'kyle-vidrine', 'leadership', 'motivation', 'motivational', 'resilience']"
Raj Kumar Koochitani,0,“Success hasn't any time allotment! Study while others are Sleeping; Work while others are Loafing; Prepare while others are Playing; And Dream while others are Wishing. No matter about the situation just keep it on and one day you're going to be proud-full at yourselves.”,"['inspiration', 'motivation', 'proud', 'success']"
Constance Friday Elias,0,“Clinging onto your past won't make you move into your future fast.”,"['focus', 'future', 'inspiration', 'life', 'motivation', 'past', 'present', 'progress']"
Constance Friday Elias,0,“Clinging onto the past won't make you move into your future fast.”,"['focus', 'future', 'inspiration', 'life', 'motivation', 'past', 'present', 'progress']"
RVM,0,"“Many people keep going round in circles. In the end, they find they are where they started. Many people keep going round in circles. In the end, they find they are where they started.”","['inspiration', 'motivation']"
Louise Philippe Dulay,0,"“His own skin can't define him, so he wraps himself with words.”","['define', 'inspiration', 'inspirational', 'personality', 'skin', 'wisdom', 'words']"
"Marieke Nijkamp,",0,"“You’re brave.” Lorna said. “I’m not,” I assured her, trying not to bristle. I hate being called brave. It’s almost as bad as inspiring.”","['bravery', 'comedy', 'disability', 'disabled', 'inspiration', 'unbroken']"
"Jordan B. Peterson,",0,"“If the world you are seeing is not the world you want, therefore, it’s time to examine your values. It’s time to rid yourself of your current presuppositions. It’s time to let go. It might even be time to sacrifice what you love best, so that you can become who you might become, instead of staying who you are.”","['inspiration', 'inspirational', 'motivation', 'motivational', 'self-help']"
Lailah Gifty Akita,0,“Believe is brevity.”,"['brevity', 'brlieve', 'inspiration']"
RVM,0,"“We all Come into this WORLD and Go out of this WORLD in the same way. The Destination is the Same. The Difference is the Journey. Some ENJOY it, some DON'T!”","['inspiration', 'motivation']"
RVM,0,"“If we Live without trying to make our Dreams come True, we are no better than the table and chair lying in front of us, just Existing till they are moved out.”","['inspiration', 'motivation']"
Lailah Gifty Akita,0,“Godly wisdom guide's a man to walk on the good path.”,"['faith', 'godly', 'good', 'guidance', 'hope', 'inspiration', 'wisdom']"
"J. Autherine,",0,“Ready to feel again. Ready to trust again. Ready to love again. The heart gets knocked down but it does not stay down.”,"['autherine', 'emotions', 'fighter', 'heart', 'inspiration', 'love', 'love-quotes', 'trust']"
RVM,0,"“Choices, not Chances, are Responsible for the Destiny of our Life.”","['inspiration', 'motivation']"
Lailah Gifty Akita,0,“You can survive any sufferings except death.”,"['death', 'inspiration', 'sufferings', 'survival']"
Lailah Gifty Akita,0,“Whoever is saved shall not continue to sin.”,"['christian', 'faith', 'inspiration', 'repent', 'salvation', 'sin']"
Lailah Gifty Akita,0,“Faith in God is a safe security.”,"['christian', 'faith', 'god', 'inspiration', 'security']"
Lailah Gifty Akita,0,“Faith in God is safe security.”,"['christian', 'faith', 'god', 'inspiration', 'security']"
RVM,0,"“Those who are not Free, can't even climb a Tree... Forget about them being what they want to Be!”","['inspiration', 'motivation']"
Lailah Gifty Akita,0,“Without humility is there any harmony ?”,"['harmony', 'humility', 'inspiration']"
"Jeanne McElvaney,",0,“Survivors often feel their emotions are attacking them. Surprised when they arrive out of no where. Overwhelmed by their force. Scared they will change our lives. Our healing journey helps us realize ALL our emotions are allies when we let them guide us to life-changing choices.”,"['childhood-abuse', 'empowerment', 'healing-the-past', 'inspiration']"
Sajal Ahmed,3,"“Do you want to make the dream come true?Do you want to make the dream come true?These five ways for you! I am Sajal Ahmed and I love to dreams, and tell you-Keep dreaming. Never forget to dream, after you can make your dreams come true. Yes its not false! You can also fulfill your dreams. How to know?Friend but let's go-1) Keep dreaming. Look like a good, bad, black and white dreams. Friends remember that, these are the bad, good, bright and dark dreams of your whole life.2) You never think of yourself as a little. Yes friend, Do not think you're too little. If you think of yourself as s a little, you are lost! What did Sajal Ahmed say? Why he smiling? Do not worry about this. Never tell anyone about your dreams. Perhaps they will laugh or think your dream will be trivial. When they smile, you start thinking trivial about your own dream. Can not move forward......Remember friend god has given you the power to endure. Come on yourself as you say. Those who laugh at you, leave piss in their mouth and Keep your dreams in yourself. If you want to make it true, you will have to keep it in yourself until it is successful. Those who saw you one day laugh, they will be jealous of you one day.3) Do not think of my dream sometimes small. Never think your dreams worthless. Remember, everyone can not see dream, dream is a great gift of God! If you've see dream you will feel lucky. Because the dream is like a revelation. It is not revealed to everyone.4) Friend, I tell you, do not forget to see a bad dream or curse yourself to see bad dreams. Because good things come from bad hands.And always remember this, ""Every good thing on the earth was bad for some.''5) Listen friends, then think about the dream you want to make the truth. Until you get the keys to the secret door of that dream. If you find groping and do not throw it. Hold it tight.What?Why?How?with whom?for what reason?Where?Keep asking and find out the answer itself.Your brain is a huge answer shit.The answer to all the questions of the world is stored in it. You just find them. Be patient even if the breach of patience breaks ""This is my dream"" And search. And keep searching......Then you will find the key and with that you get the path to success. Cuse ""You can dream it, you can do it.”","['dream', 'dreams', 'dreams-quotes', 'inspiration', 'inspirational', 'inspirational-quotes']"
Matthew Gray Gubler,3,"“take criticism, smash it into dust, add color & use it to paint breathtaking images of unicorns frolicking thru endless fields of greatness”","['criticism', 'greatness', 'inspiration', 'unicorns']"
Giovannie de Sadeleer,2,"“Before I met you, all I could see was a black hole.Now the nights are full of bright shining stars whispering your name into a constellation.”","['black-hole', 'constellation', 'giovanniedesadeleer', 'inspiration', 'love', 'moon', 'night', 'romantic-quotes', 'stars']"
Lorin Morgan-Richards,2,“Inspiration comes from living it.”,"['author', 'cowboy', 'empowerment', 'focus', 'goals', 'human-experience', 'inspiration', 'life']"
Debasish Mridha MD,1,“A mother's love gives us the best inspiration and energy to grow up as a human being in this garden of humanity”,"['debasish', 'energy-to-grow', 'garden-of-humanity', 'grow-up', 'human', 'human-being', 'inspiration', 'mother', 'mothers-love', 'mridha']"
"Brandon Turner,",1,"“Having goals is great--but it's not enough! You need action, too! You will need to get off your butt and change the world yourself, because no one else will do it for you.”","['change-the-world', 'goal-setting', 'goals', 'inspiration', 'inspirational', 'take-action']"
"Brandon Turner,",1,“Life itself is so extraordinary and unique that the only thing keeping people ordinary is themselves.”,"['extraordinary', 'inspiration', 'inspirational', 'life', 'life-quotes']"
Vignesh Srinivasan,1,“Sometimes you owe luck lot more than a cake when the stars refused to align. Finding a new way from the dead end can inspire many - Vignesh Srinivasan.”,"['inspiration', 'motivation']"
Vignesh Srinivasan,1,"“For every opportunity lost, people might place their bet on futuristic fortunes perpetuated by certain strategical moves. Once you accept the mistakes rest will be history”","['inspiration', 'leader', 'motivation', 'positivity', 'team-player']"
Ron Baratono,1,"“New people in our lives are just like series of events in our lives, they can change our whole way of thinking, introducing us to knew ways of moving forward, allowing us to knock down road blocks that kept our heart at bay.”","['heart', 'inspiration', 'live', 'lives', 'people', 'thinking']"
For-you-she-writes,0,“What the clock reads is the measure you set”,"['inspiration', 'measurement', 'progress', 'time']"
For-you-she-writes,0,"“Clarity of clear-seeing, releases the grip that holds you back”","['inspiration', 'motivation', 'quotes', 'thoughts']"
For-you-she-writes,0,"“Destiny is the agency to set a sight on a higher goal, than anyone else can see.”","['destiny', 'destiny-and-attitude', 'inspiration', 'taking-chances']"
For-you-she-writes,0,“As with the spirit which connects with the soul; so does the Mind attune itself to the body.”,"['inspiration', 'inspirational-quotes', 'soul', 'spirit']"
For-you-she-writes,0,"“Each step is but a move toward integration, along the chosen path.”","['destiny', 'inspiration', 'life', 'motivation', 'vision-quotes']"
RVM,0,“OPPORTUNITIES don’t wait. Either you USE them or you LOSE them.”,"['inspiration', 'motivation']"
"H.L. Balcomb,",0,“Life rises and falls to meet us at the greatest learning potential for our life’s story.”,"['cinderellainfocus', 'hlbalcomb', 'hope-quotes', 'inspiration', 'learning-from-mistakes', 'self-love']"
RVM,0,"“People ask – how can I enjoy life when I have problems? You may have problems, but you can still enjoy life and be Happy.”","['inspiration', 'motivation']"
"Jeanne McElvaney,",0,"“The faeries have no need for answers,” the crone laughed. “They live in the joy of shifts and changes.”","['fairies', 'inspiration']"
Vignesh,0,"“For every opportunity lost, people might place their bet on futuristic fortunes perpetuated by certain strategical moves. Once you accept the mistakes rest will be history”","['inspiration', 'leader', 'motivation', 'team-player']"
Julieanne O'Connor,0,"“Delight in the pursuit, surrender to imperfection, and marvel at the wonder - as you observe what is.”","['imperfection', 'inspiration', 'life', 'life-lesson-quotes', 'life-quotes', 'marvel', 'observe', 'surrender', 'wonder']"
Iimani David,0,“The path to happiness can't be to do all the wrong things in different ways.”,"['happiness', 'inspiration']"
Loren Weisman,0,"“It is very challenging to effectively act on motivation and inspiration alone. Without education and direction, forward motion can become a great challenge.”","['inspiration', 'knowledge', 'loren-weisman', 'motivation', 'quote', 'wisdom']"
RVM,0,“Pleasures that we seek are not Happiness at its peak... for it is Contentment that gives True fulfillment.”,"['inspiration', 'motivation']"
"Salman Khan,",0,"“The world needs all the trained minds and bright futures it can get, and it needs them everywhere.”","['education', 'future-generations', 'inspiration']"
"Margaret Atwood,",0,“the gods often mumble”,"['god', 'inspiration', 'religion', 'revelation']"
"Meredith T. Taylor,",0,“I did not tremble when his eyes met mine. One can only shudder in fear for so long until all trepidation is replaced by unearthly bravery.”,"['bravery', 'courage', 'fight', 'girl-power', 'heroine', 'inspiration', 'siren', 'strength', 'strong-women', 'warrior']"
"Erasmus von Rotterdam,",0,"“Der Weise nimmt seine Zuflucht zu den Schriften der Alten und lernt daraus nichts als Wortklauberei. Der Tor hingegen rückt den Problemen zu Leibe und geht das Wagnis, sich mit ihnen auseinanderzusetzen, ein und gewinnt dadurch – wenn ich mich nicht täusche – die wahre Klugheit.”","['b%C3%BCcher', 'inspiration', 'lesen', 'motivation', 'weisheit']"
Saif Rehman,0,"“Stay Motivated , Stay Learn & have a Change”","['courage', 'focused', 'inspiration', 'learning', 'motivation', 'saif', 'success-quotes', 'tips-to-live-happy-life', 'wisdom']"
Saaif Alam,0,“Always initiate a purposeful communication that can sound informative and appealing toward others around you by thinking very decisively before speaking.”,"['education', 'inspiration']"
Richie Norton,3,"“Sometimes success is the source of your happiness, but sometimes happiness can be the source of your success.”","['entrepreneurship', 'happiness', 'inspiration', 'joy', 'motivation', 'richie-norton-quotes', 'sometimes', 'source', 'success']"
James Rozoff,2,"“Don't punch at the darkness, be a light.”","['darkness', 'darkness-and-light', 'inspiration', 'inspire', 'light']"
Jodi Livon,1,“Being kind takes more heart than effort.”,"['inspiration', 'inspirational-quotes', 'life-lesson-quotes', 'life-quotes', 'motivational-quotes', 'philosophy', 'positive-thinking-quotes', 'the-happy-medium']"
"Mel Robbins,",1,"“Will it be your Heart that wins, or your Fear?”","['activation', 'inspiration', 'motivation']"
"Sasha Graham,",1,"“The Empress surrounds you at all times. She feeds the soul with her brilliance and beauty of the night sky. Mountain landscapes, rolling hills, and ocean waves rise like the curve of her hips. Her breath is the warm air of summer, her cool palms are the willow tree's shade. She is the peace of mind of a walking meditation. The Empress fills you with the entirety of the world's beauty if you let her in. She shows you in no uncertain terms, that you are never, ever alone. You are part and parcel of the glistening, pulsating world of energetic and beautific connection. You are her and she is you. She is everything and everything is you.”","['beauty', 'divination', 'empress', 'empress-tarot', 'inspiration', 'nature', 'tarot', 'tarot-card', 'tarot-quote']"
Naryza,1,“Divinely Fabulous Inside & Out!”,"['author', 'divine', 'fabulous', 'insights', 'inspiration', 'leader', 'prayer', 'star']"
"Neha Bindal,",1,“We are all taught that the most beautiful part of a fairytale is “happily ever after”. But we fail to notice that all fairy tales begin with “Once upon a time”. Once. It all happened. It was all real. Once.”,"['fairytale', 'fairytales', 'favorite', 'happiness', 'happy', 'inspiration', 'laugh', 'once-upon-a-time', 'smile', 'story']"
Steve Maraboli,0,"“Same crap, different day” is a lie... it’s a mindset... it’s a psychological prison that condemns you to a cycle of mediocrity.”","['inspiration', 'life', 'motivation']"
Stewart Stafford,0,"“All great achievements are the product of absorbing, blending and surpassing one’s influences. Nevertheless, it is important to acknowledge the passing of the torch of inspiration from those who have gone before.”","['acknowledging', 'great-achievements', 'influences', 'inspiration', 'surpassing']"
"neha bindal,",0,"“No matter who we are, what we do, or where we live, deep inside we all feel incomplete. It’s like we have lost something and need to get it back. Just what that something is, most of us never find out. And of those who do, even fewer manage to go out and look for it.”","['inspiration', 'motivational']"
"Neha Bindal,",0,"“Alone wasn’t just a closed dark room anymore but a whole wide world full of opportunities. I needed to explore and occupy the vastness of the world inside of me, which until now I hadn’t truly understood.”","['alone', 'inspiration', 'lonely', 'motivational', 'newplace', 'travel', 'travelogue']"
Steve Maraboli,0,“My scars? They are proof that I tore into this world and it tore into me. They are a receipt for time purposefully spent. They are the memories I proudly point to while others timidly speak of their dreams.”,"['inspiration', 'life', 'motivation', 'scars']"
Winston Churchill,0,"“The farther back we can look, the farther forward we are likely to see - Winston Churchill”","['inspiration', 'motivation']"
Naryza,0,"“Be The Leader, Author, & Star of Your Own Life Story!”","['divine', 'fabulous', 'insights', 'inspiration', 'leader', 'naryza', 'own', 'prayer']"
Wayne Dyer,0,"“We are not our bodies, our possessions, or our careers. Who we are is divine Love, and that is infinite."" Dr. Wayne Dyer”",['inspiration']
"Tibor Fischer,",0,"“Winning is not life, fighting for third place is.”","['encouragement', 'inspiration', 'life', 'motivation']"
Nicole Cody,0,"“Be brave and let go. Let go of fear, and pain. Stop holding to the thing that is tearing you apart. While you hang on, grimly gripping and clutching this to you, you deny yourself freedom, new gifts, love. It is madness to presume that you are more wise than the Universe. Let go. Trust.”","['courage', 'emotional-healing', 'inspiration', 'letting-go', 'life-advice', 'relationships', 'spiritual-growth']"
Alija Izetbegović,0,"“The deepest, most important question the human mind ever asked itself, the most important question ever asked, is : Why does something exist, rather than nothing? Or : why does something exist at all? For me, this is the fundamental question of ontology.via > Alija Izetbegović - Notes From Prison, 1983-1988.Alija Izetbegović, the first President of the Republic of Bosnia and Herzegovina (1992) and the author of several books, most notably "" Islam Between East and West "" and "" Islamic Declaration "".”","['inspiration', 'inspirational', 'inspirational-quotes', 'life', 'quote', 'quotes']"
"Stephen King,",0,“In spite of it all I didn't want to die.”,"['attitude', 'challenges', 'inspiration', 'life', 'mental-health', 'perseverance']"
Paul Robinson,0,"“Paul Robinson, I'm coming, it has taken me a while, but I have almost caught up with you. Keep running, if you cannot run walk, if you cannot walk crawl, if you cannot do this dream. Paul Robinson author.”","['fantasy', 'fiction', 'inspiration', 'writing']"
Jodi Livon,0,“Today I choose self acceptance. Today I choose to walk in the direction of simply what feels good to me. Today I believe my spirit instead of my thoughts. Today I am free.”,"['inspiration', 'inspirational-quotes', 'law-of-attraction', 'life-lesson-quotes', 'life-quotes', 'medium', 'motivational-quotes', 'mysticism', 'self-help', 'spiritual-development']"
Jodi Livon,0,“Our kids will always be our children but they will not always be kids.”,"['inspiration', 'inspirational-quotes', 'law-of-attraction', 'life-lesson-quotes', 'life-quotes', 'medium', 'motivational-quotes', 'mysticism', 'self-help', 'spiritual-development']"
Jodi Livon,0,“People see with their spirit.”,"['inspiration', 'inspirational-quotes', 'law-of-attraction', 'life-lesson-quotes', 'life-quotes', 'medium', 'motivational-quotes', 'mysticism', 'self-help', 'spiritual-development']"
Jodi Livon,0,"“I believe in the power of self-acceptance. I am confident, strong, brave and beautiful.”","['inspiration', 'inspirational-quotes', 'law-of-attraction', 'life-quotes', 'motivational-quotes', 'mysticism', 'self-help', 'spiritual-development', 'success-quotes', 'wisdom-quotes']"
jodi livon,0,“The mind is like a stage. So shine the spotlight on something that makes you feel good.”,"['inspiration', 'inspirational-quotes', 'law-of-attraction', 'life-quotes', 'motivational-quotes', 'mysticism', 'self-help', 'spiritual-development', 'success-quotes', 'wisdom-quotes']"
Zakiyya Rosebelle,0,“Follow your dreams… Remember to wear cute shoes!”,"['inspiration', 'inspirational-quotes-about-life', 'motivation']"
Steve Maraboli,0,“No “normal” people find themselves in the history books... No “normal” people change the world. So get comfortable being “weird” and embrace the loneliness of unapologetic determination.”,"['inspiration', 'life', 'motivation']"
Steve Maraboli,0,"“If you’re not chasing your dreams, you’re still sleeping. WAKE UP! Don’t throw away another day. GO GET IT!”","['dreams', 'goals', 'inspiration', 'motivation', 'success']"
James Stanford,0,"“The gestalt of living in the desert, surrounded by the desert, was a big influence in my life and in the lives of other artists in this community. There are many artists and musicians who grew up as lonely kids in the desert with nothing to do, and who chose to channel their focus inward. In the Mojave Desert, numinous, mystical experiences are not as rare as one might think. The numinous is a part of the whole artistic experience for the desert artist.”","['artist', 'artist-quotes', 'contemporary-art', 'inspiration', 'james-stanford', 'las-vegas', 'mojave-desert', 'painting', 'photography', 'shimmering-zen']"
"Ilchi Lee,",0,"“Depending on what choices and designs you make right at this moment for today, your day will definitely change.”","['enlightenment', 'happiness', 'health', 'inspiration', 'meditation', 'wellness']"
Jacqueline Simon Gunn,3,"“I’m not extraordinary in any traditional sense. I don’t need to stand out. I’m often overwhelmed by attention. But I will tell you this. I will soar above those walls that you think protect you. I will believe in you as hard as I can and never let go of who I know you can be. I will be vulnerable enough to let the world break me, but strong enough to never wear the armor. I will stand over every line and make you believe you can do the same. It’s an unquietness I feel deep inside. It’s not about being extraordinary, you see. It’s not about standing out. It’s simply about shedding all that’s false. And believing with everything I have that you can too.”","['be-yourself', 'be-yourself-quote', 'empowering-quotes', 'empowerment', 'free-spirit', 'inspiration', 'inspirational-attitude', 'life-lessons', 'life-philosophy', 'motivational-quotes']"
"Charlotte Eriksson,",3,“I am the creator of my very own self and I intend to treat me like my greatest masterpiece.”,"['character', 'creator', 'gratitude', 'i-am', 'inspiration', 'masterpiece', 'motivation', 'self-development', 'self-love']"
"Shane Johnston,",2,"“If nаturе іntеndеd uѕ to tаlk mоrе than lіѕtеn, ѕhе would have gіvеn us twо mоuthѕ and оnе еаr.”","['advice', 'communication', 'inspiration', 'introvert', 'listening', 'social-skills']"
Adedayo Olabamiji,1,"“Don't give up, don't loose hope, don't settle for less and keep finding answers. Better days ahead. Get out of those mess! Get those things out of your head!”","['answers', 'better-life', 'head', 'hope', 'inspiration', 'inspirational-attitude', 'life', 'life-lessons', 'life-philosophy']"
Ana Grace Greene,1,“Don't let them suck your fun circus dry!”,"['children', 'inspiration', 'spirit']"
"Shane Johnston,",1,"“Hаbіtѕ оf fіnаnсіаl ѕuссеѕѕ аrе lеаrnаblе, as аll hаbіtѕ аrе, bу practice аnd rереtіtіоn.”","['financial-freedom', 'habits', 'habits-quotes', 'inspiration', 'millionaire-mindset', 'success']"
"Ford Taylor,",1,“Experience is not the best teacher. The consequence from experience is the best teacher. No consequence no lesson.”,"['experience', 'ford-taylor', 'inspiration', 'motivation', 'quotes', 'teacher-quotes', 'transformational-leadership', 'wisdom']"
Clyde Mlodzik,0,"“Sad music can help you work through what you are feeling sometimes. I think it is best to experience the emotion, try to find the truth behind why you feel like that and then let it go.”","['emotion', 'feelings', 'inspiration', 'music', 'sad', 'sadness']"
Freequill,0,“Doing the best we can manage in the present moment is the pathway to a beautiful future.”,"['action', 'future', 'inspiration', 'motivation', 'positive', 'presence', 'present-moment']"
Freequill,0,“Discomfort in the present is the path to betterment.”,"['betterment', 'challenges', 'comfort', 'fear', 'inspiration', 'motivation', 'quotes-to-live-by']"
Freequill,0,"“When the truth hurts, create a better truth.”","['accountability', 'action', 'compassion', 'drive', 'inspiration', 'motivation', 'responsibility']"
Freequill,0,"“You are your biggest obstacle, but you are also the change that you seek.”","['change', 'drive', 'fear', 'inspiration', 'love', 'motivation', 'obstacle', 'progression', 'seek']"
Freequill,0,"“If you could speak to yourself 5 years from now, what would your future self ask you to prioritize?”","['action', 'drive', 'future', 'goals', 'inspiration', 'motivation', 'past', 'perspective', 'plan', 'targets']"
"Walter Isaacson,",0,"“A bird is like an instrument working according to mathematical law, and it is in the capacity of man to reproduce such an instrument,"" Leonardo da Vinci”","['humanity', 'inspiration', 'possibility']"
