authors,likes,quotes,tags
Abraham Lincoln,9628,"“Whatever you are, be a good one.”",['inspirational']
Thomas Szasz,9505,"“Two wrongs don't make a right, but they make a good excuse.”","['humor', 'inspirational']"
"F. Scott Fitzgerald,",9470,"“I hope she'll be a fool -- that's the best thing a girl can be in this world, a beautiful little fool.”","['inspirational', 'women']"
Nicholas Klein,9440,“First they ignore you. Then they ridicule you. And then they attack you and want to burn you. And then they build monuments to you.”,"['conflict', 'fighting', 'inspirational', 'misattributed-to-gandhi', 'trial']"
Jonathan Swift,9008,“May you live every day of your life.”,"['inspirational', 'life', 'philosophy', 'wisdom']"
"Robert Fulghum,",8881,“I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.”,"['hope', 'imagination', 'inspirational']"
"A.A. Milne,",8513,“You can't stay in your corner of the Forest waiting for others to come to you. You have to go to them sometimes.”,"['friendship', 'inspirational', 'pooh', 'winnie']"
L.M. Montgomery,8296,“Isn't it nice to think that tomorrow is a new day with no mistakes in it yet?”,"['beginnings', 'fresh-start', 'inspirational', 'mistake', 'mistakes', 'new-day', 'start-over', 'tomorrow']"
"George Orwell,",8271,“Who controls the past controls the future. Who controls the present controls the past.”,['inspirational']
"Rick Riordan,",8232,"“If my life is going to mean anything, I have to live it myself.”","['inspirational', 'life', 'meaning']"
C. JoyBell C.,7958,"“You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue.”","['affection', 'communication', 'heartwarming', 'human-connections', 'human-nature', 'humanism', 'humanity', 'inspirational', 'inspirational-life', 'inspirational-love', 'inspirational-quotes', 'relationships']"
Emily Dickinson,7843,“Hope is the thing with feathers That perches in the soul And sings the tune without the words And never stops at all.”,"['feathers', 'hope', 'inspirational', 'souls']"
John Lennon,7765,"“When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ‘happy’. They told me I didn’t understand the assignment, and I told them they didn’t understand life.”","['inspirational', 'life']"
Ralph Waldo Emerson,7687,“Always do what you are afraid to do.”,['inspirational']
"Martin Luther King Jr.,",7617,“Our lives begin to end the day we become silent about things that matter.”,['inspirational']
Alexandre Dumas,7545,"“There is neither happiness nor misery in the world; there is only the comparison of one state with another, nothing more. He who has felt the deepest grief is best able to experience supreme happiness. We must have felt what it is to die, Morrel, that we may appreciate the enjoyments of life. "" Live, then, and be happy, beloved children of my heart, and never forget, that until the day God will deign to reveal the future to man, all human wisdom is contained in these two words, 'Wait and Hope.”","['hope', 'inspirational', 'wisdom']"
Martin Luther King Jr.,7483,"“In the end, we will remember not the words of our enemies, but the silence of our friends.”",['inspirational']
"haruki murakami,",7481,“Pain is inevitable. Suffering is optional.”,"['inspirational', 'running']"
"Ayn Rand,",7465,"“Do not let your fire go out, spark by irreplaceable spark in the hopeless swamps of the not-quite, the not-yet, and the not-at-all. Do not let the hero in your soul perish in lonely frustration for the life you deserved and have never been able to reach. The world you desire can be won. It exists.. it is real.. it is possible.. it's yours.”","['inspirational', 'life']"
"Chad Sugg,",7426,"“If you're reading this...Congratulations, you're alive.If that's not something to smile about,then I don't know what is.”","['alive', 'congratulations', 'hope', 'humanity', 'inspiration', 'inspirational', 'inspire', 'life', 'poetry', 'smile', 'wisdom']"
Arthur Schopenhauer,7418,“Talent hits a target no one else can hit. Genius hits a target no one else can see.”,"['inspirational', 'talent']"
"John Green,",7415,“It is so hard to leave—until you leave. And then it is the easiest goddamned thing in the world.”,"['inertia', 'inspirational', 'leaving', 'nerdfighter']"
